duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d,PD_30d_after,PD_90d_after,PD_180d_after,PD_365d_after,EL_30d_after,EL_90d_after,EL_180d_after,EL_365d_after
366.0,0,300000000.0,0.0,0.0,1.8573945706257255e-05,0.0006008035945924695,0.0,0.0,2786.091855938588,90120.53918887042,0.0,0.0,1.8573945706257255e-05,0.0006008035945924695,0.0,0.0,1950.264299157012,63084.377432209294
2191.0,0,1925339.0,0.0,0.0,1.9462604990527765e-05,0.0006295399116730271,0.0,0.0,18.73605621492887,606.0388720003172,0.0,0.0,1.9462604990527765e-05,0.0006295399116730271,0.0,0.0,18.73605621492887,606.0388720003172
365.0,0,40000000.0,0.0,0.0,1.825941840372103e-05,0.0005906326247328009,0.0,0.0,365.18836807442057,11812.652494656017,0.0,0.0,1.825941840372103e-05,0.0005906326247328009,0.0,0.0,365.18836807442057,11812.652494656017
1826.0,0,102500000.0,0.0,0.0,1.5398415980083513e-05,0.0004981108691148872,0.0,0.0,789.16881897928,25528.18204213797,0.0,0.0,1.5398415980083513e-05,0.0004981108691148872,0.0,0.0,789.16881897928,25528.18204213797
730.0,0,150000000.0,0.0,0.0,4.315665687792958e-05,0.001395432355213888,0.0,0.0,3236.749265844718,104657.4266410416,0.0,0.0,4.315665687792958e-05,0.001395432355213888,0.0,0.0,3236.749265844718,104657.4266410416
1096.0,0,9996229.0,0.0,0.0,2.5150964564346623e-05,0.0008134637761303409,0.0,0.0,125.70740067804704,4065.785094701811,0.0,0.0,2.5150964564346623e-05,0.0008134637761303409,0.0,0.0,125.70740067804704,4065.785094701811
730.0,0,964800.0,0.0,0.0,4.7752175286408516e-05,0.0015439131634720216,0.0,0.0,23.035649358163468,744.7837100589032,0.0,0.0,4.7752175286408516e-05,0.0015439131634720216,0.0,0.0,23.035649358163468,744.7837100589032
1096.0,0,14638.0,0.0,0.0,1.878806088639884e-05,0.0006077274481874895,0.0,0.0,0.1375098176275531,4.4479571932842354,0.0,0.0,1.878806088639884e-05,0.0006077274481874895,0.0,0.0,0.1375098176275531,4.4479571932842354
730.0,0,80000000.0,0.0,0.0,4.053610452325884e-05,0.0013107529519863492,0.0,0.0,1621.4441809303537,52430.11807945397,0.0,0.0,4.053610452325884e-05,0.0013107529519863492,0.0,0.0,1621.4441809303537,52430.11807945397
1096.0,0,1.0,0.0,0.0,1.8788726320773108e-05,0.0006077489663000035,0.0,0.0,9.394363160386554e-06,0.00030387448315000176,0.0,0.0,1.8788726320773108e-05,0.0006077489663000035,0.0,0.0,9.394363160386554e-06,0.00030387448315000176
7305.0,0,421000000.0,0.0,0.0,1.4490208062767351e-05,0.0004687386616433198,0.0,0.0,3050.1887972125273,98669.48827591882,0.0,0.0,1.4490208062767351e-05,0.0004687386616433198,0.0,0.0,3050.1887972125273,98669.48827591882
366.0,0,510000000.0,0.0,0.0,1.817955949101613e-05,0.000588050185595157,0.0,0.0,4635.787670209113,149952.79732676502,0.0,0.0,1.817955949101613e-05,0.000588050185595157,0.0,0.0,4635.787670209113,149952.79732676502
1827.0,0,250000000.0,0.0,0.0,4.086739542286111e-05,0.0013214585280616475,0.0,0.0,5108.424427857639,165182.31600770593,0.0,0.0,4.086739542286111e-05,0.0013214585280616475,0.0,0.0,5108.424427857639,165182.31600770593
1096.0,0,300000.0,0.0,0.0,1.8976872265930034e-05,0.0006138330129091818,0.0,0.0,2.846530839889505,92.07495193637727,0.0,0.0,1.8976872265930034e-05,0.0006138330129091818,0.0,0.0,2.846530839889505,92.07495193637727
366.0,0,100000000.0,0.0,0.0,1.8320947703931445e-05,0.0005926223252634699,0.0,0.0,916.0473851965722,29631.116263173495,0.0,0.0,1.8320947703931445e-05,0.0005926223252634699,0.0,0.0,916.0473851965722,29631.116263173495
1096.0,0,200000000.0,0.0,0.0,1.6175662446604733e-05,0.0005232470089513441,0.0,0.0,1617.5662446604733,52324.70089513441,0.0,0.0,1.6175662446604733e-05,0.0005232470089513441,0.0,0.0,1617.5662446604733,52324.70089513441
184.0,0,36000000.0,0.0,0.0,1.7961430948787438e-05,0.0005809964166728632,0.0,0.0,323.3057570781739,10457.935500111536,0.0,0.0,1.7961430948787438e-05,0.0005809964166728632,0.0,0.0,323.3057570781739,10457.935500111536
1096.0,0,1491585.0,0.0,0.0,1.8706275752844448e-05,0.0006050827636053802,0.0,0.0,13.951000159403243,451.2661869761655,0.0,0.0,1.8706275752844448e-05,0.0006050827636053802,0.0,0.0,13.951000159403243,451.2661869761655
