,accuracy,precision,recall,f1_score,auc_roc
Logistic Regression,0.5967440619161997,0.16162843688288014,0.6696035242290749,0.26040137053352913,0.5
Neural Network,0.7665465705898051,0.2991165334455196,0.89490245437382,0.44836827999369383,0.9214366100322806
