protected,method,dp_diff,disparate_impact,tpr_diff,auc
SEX,baseline,0.04846170069174961,0.6714460970050874,0.07692307692307687,0.9993325035633269
SEX,reweighing,0.0365355255497566,0.7301761596694205,0.11711711711711714,0.9992742150946553
SEX,postprocess_threshold,0.050710784313725485,0.6590871642774757,0.023493360572012234,0.9993325035633269
ORGNBR,baseline,0.4634146341463415,0.0,0.25,0.9993325035633269
ORGNBR,reweighing,0.4634146341463415,0.0,0.5,0.9992742150946553
ORGNBR,postprocess_threshold,0.4634146341463415,0.0,0.25,0.9993325035633269
