duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d
366.0,0,300000000.0,0.0,0.0,1.9372069886891552e-05,0.0006265150529449759,0.0,0.0,2905.810483033733,93977.25794174639
2191.0,0,1925339.0,0.0,0.0,2.0242087128363728e-05,0.0006546434853744731,0.0,0.0,19.486439894818346,630.2053167437014
365.0,0,40000000.0,0.0,0.0,1.9025895482194244e-05,0.0006153227126902694,0.0,0.0,380.5179096438849,12306.454253805388
1826.0,0,102500000.0,0.0,0.0,1.6082519932902883e-05,0.0005201540375563418,0.0,0.0,824.2291465612727,26657.89442476252
730.0,0,150000000.0,0.0,0.0,3.476000346158692e-05,0.0011239074478884836,0.0,0.0,2607.000259619019,84293.05859163628
1096.0,0,9996229.0,0.0,0.0,2.641242969880775e-05,0.000854114142053608,0.0,0.0,132.01234785784163,4268.960278053198
730.0,0,964800.0,0.0,0.0,3.8375833999904074e-05,0.0012407490557777567,0.0,0.0,18.512502321553725,598.5373445071898
1096.0,0,14638.0,0.0,0.0,1.9523411869282192e-05,0.0006314081291739493,0.0,0.0,0.14289185147127637,4.6212760974241345
730.0,0,80000000.0,0.0,0.0,3.139595110046578e-05,0.0010151898814563243,0.0,0.0,1255.838044018631,40607.59525825297
1096.0,0,1.0,0.0,0.0,1.9524248459856786e-05,0.000631435177133155,0.0,0.0,9.762124229928393e-06,0.0003157175885665775
7305.0,0,421000000.0,0.0,0.0,1.5119921056960806e-05,0.0004890282544325331,0.0,0.0,3182.7433824902496,102940.44755804821
366.0,0,510000000.0,0.0,0.0,1.8949280172320115e-05,0.0006128456078281497,0.0,0.0,4832.06644394163,156275.62999617818
1827.0,0,250000000.0,0.0,0.0,3.101330679833314e-05,0.0010028230701727425,0.0,0.0,3876.6633497916423,125352.88377159281
1096.0,0,300000.0,0.0,0.0,1.9715554877453023e-05,0.0006376203203254383,0.0,0.0,2.9573332316179535,95.64304804881574
366.0,0,100000000.0,0.0,0.0,1.9100721117215613e-05,0.0006177419485348112,0.0,0.0,955.0360558607806,30887.09742674056
1096.0,0,200000000.0,0.0,0.0,1.6916746273354377e-05,0.0005471281151696594,0.0,0.0,1691.6746273354377,54712.81151696594
184.0,0,36000000.0,0.0,0.0,1.870174353368892e-05,0.0006048422815073673,0.0,0.0,336.63138360640056,10887.16106713261
1096.0,0,1491585.0,0.0,0.0,1.943409857874112e-05,0.0006285205212075429,0.0,0.0,14.493804964285788,468.7458908126764
1096.0,0,12987118.0,0.0,0.0,1.9525716934309933e-05,0.0006314826546383046,0.0,0.0,126.79139493024067,4100.569875370455
365.0,0,200000000.0,0.0,0.0,1.9020923249790656e-05,0.0006151619520371465,0.0,0.0,1902.0923249790656,61516.195203714655
10957.0,0,439103960.0,0.0,0.0,1.8062382211581074e-05,0.0005841702368849511,0.0,0.0,3965.631778069404,128255.73216516004
1096.0,0,21660000.0,0.0,0.0,3.751198306412018e-05,0.0012128358621181778,0.0,0.0,406.25477658442156,13135.012386739865
365.0,0,75000000.0,0.0,0.0,1.9194569424341168e-05,0.0006207762106370529,0.0,0.0,719.7963534127938,23279.107898889484
1827.0,0,150050000.0,0.0,0.0,1.5898016699877893e-05,0.000514188169827956,0.0,0.0,1192.7487029083388,38576.9674413424
365.0,0,550000000.0,0.0,0.0,1.9016784575276446e-05,0.0006150281416970049,0.0,0.0,5229.615758201023,169132.73896667635
1096.0,0,19300000.0,0.0,0.0,1.6132092315657154e-05,0.0005217569427660163,0.0,0.0,155.67469084609152,5034.954497692057
365.0,0,55000000.0,0.0,0.0,1.9024671269463056e-05,0.0006152831318317897,0.0,0.0,523.1784599102341,16920.28612537422
365.0,0,40000000.0,0.0,0.0,1.9856793072481338e-05,0.0006421866799792841,0.0,0.0,397.13586144962676,12843.733599585683
1096.0,0,21440097.0,0.0,0.0,1.8758283884423577e-05,0.0006066703431431009,0.0,0.0,201.08971301778914,6503.535502005684
366.0,0,150000000.0,0.0,0.0,1.9591070267721555e-05,0.0006335956026003453,0.0,0.0,1469.3302700791166,47519.6701950259
365.0,0,120000000.0,0.0,0.0,1.9752317172105904e-05,0.0006388088807871561,0.0,0.0,1185.1390303263543,38328.53284722937
365.0,0,230000000.0,0.0,0.0,1.9253062687907274e-05,0.0006226673845354247,0.0,0.0,2214.1022091093364,71606.74922157385
10958.0,0,133457280.0,0.0,0.0,1.8609825101933986e-05,0.0006018703694583571,0.0,0.0,1241.8083196899163,40161.991210253706
1096.0,0,137197.0,0.0,0.0,1.9678360629993286e-05,0.0006364177930217041,0.0,0.0,1.3499060216765943,43.65730597459937
1095.0,0,225000000.0,0.0,0.0,1.6049118283345543e-05,0.0005190740057992027,0.0,0.0,1805.5258068763735,58395.825652410305
1096.0,0,4894246.0,0.0,0.0,1.9300159984858567e-05,0.000624190107423539,0.0,0.0,47.22986540262705,1527.469968248613
1827.0,0,275000000.0,0.0,0.0,1.6283285832807692e-05,0.0005266457155101989,0.0,0.0,2238.9518020110577,72413.78588265234
1096.0,0,500000.0,0.0,0.0,1.9243177140193524e-05,0.0006223477703710678,0.0,0.0,4.810794285048381,155.58694259276695
5332.0,0,207781250.0,0.0,0.0,1.6618028700787768e-05,0.0005374693895242588,0.0,0.0,1726.457387992779,55838.0307960437
1096.0,0,9800414.0,0.0,0.0,1.8728566171910543e-05,0.0006057095109824884,0.0,0.0,91.77385105555925,2968.101985682966
1095.0,0,18509935.0,0.0,0.0,1.8975046484293046e-05,0.000613678677716889,0.0,0.0,175.6134385231214,5679.576217712782
1826.0,0,250000000.0,0.0,0.0,1.5896459899411575e-05,0.0005141378309111433,0.0,0.0,1987.0574874264469,64267.22886389291
365.0,0,70000000.0,0.0,0.0,1.9152534012523148e-05,0.0006194171413345106,0.0,0.0,670.3386904383102,21679.599946707873
366.0,0,100000000.0,0.0,0.0,1.8901200164678222e-05,0.0006112910953771644,0.0,0.0,945.0600082339112,30564.55476885822
2190.0,0,12120276.0,0.0,0.0,2.1112007513868214e-05,0.0006827680192604824,0.0,0.0,127.94167899107829,4137.6684187051815
