PD_30d,PD_90d,PD_180d,PD_365d,EAD
0.0,0.0,1.9372069886891552e-05,0.0006265150529449759,300000000.0
0.0,0.0,2.0242087128363728e-05,0.0006546434853744731,1925339.0
0.0,0.0,1.9025895482194244e-05,0.0006153227126902694,40000000.0
0.0,0.0,1.6082519932902883e-05,0.0005201540375563418,102500000.0
0.0,0.0,3.476000346158692e-05,0.0011239074478884836,150000000.0
0.0,0.0,2.641242969880775e-05,0.000854114142053608,9996229.0
0.0,0.0,3.8375833999904074e-05,0.0012407490557777567,964800.0
0.0,0.0,1.9523411869282192e-05,0.0006314081291739493,14638.0
0.0,0.0,3.139595110046578e-05,0.0010151898814563243,80000000.0
0.0,0.0,1.9524248459856786e-05,0.000631435177133155,1.0
0.0,0.0,1.5119921056960806e-05,0.0004890282544325331,421000000.0
0.0,0.0,1.8949280172320115e-05,0.0006128456078281497,510000000.0
0.0,0.0,3.101330679833314e-05,0.0010028230701727425,250000000.0
0.0,0.0,1.9715554877453023e-05,0.0006376203203254383,300000.0
0.0,0.0,1.9100721117215613e-05,0.0006177419485348112,100000000.0
0.0,0.0,1.6916746273354377e-05,0.0005471281151696594,200000000.0
0.0,0.0,1.870174353368892e-05,0.0006048422815073673,36000000.0
0.0,0.0,1.943409857874112e-05,0.0006285205212075429,1491585.0
0.0,0.0,1.9525716934309933e-05,0.0006314826546383046,12987118.0
0.0,0.0,1.9020923249790656e-05,0.0006151619520371465,200000000.0
0.0,0.0,1.8062382211581074e-05,0.0005841702368849511,439103960.0
0.0,0.0,3.751198306412018e-05,0.0012128358621181778,21660000.0
0.0,0.0,1.9194569424341168e-05,0.0006207762106370529,75000000.0
0.0,0.0,1.5898016699877893e-05,0.000514188169827956,150050000.0
0.0,0.0,1.9016784575276446e-05,0.0006150281416970049,550000000.0
0.0,0.0,1.6132092315657154e-05,0.0005217569427660163,19300000.0
0.0,0.0,1.9024671269463056e-05,0.0006152831318317897,55000000.0
0.0,0.0,1.9856793072481338e-05,0.0006421866799792841,40000000.0
0.0,0.0,1.8758283884423577e-05,0.0006066703431431009,21440097.0
0.0,0.0,1.9591070267721555e-05,0.0006335956026003453,150000000.0
0.0,0.0,1.9752317172105904e-05,0.0006388088807871561,120000000.0
0.0,0.0,1.9253062687907274e-05,0.0006226673845354247,230000000.0
0.0,0.0,1.8609825101933986e-05,0.0006018703694583571,133457280.0
0.0,0.0,1.9678360629993286e-05,0.0006364177930217041,137197.0
0.0,0.0,1.6049118283345543e-05,0.0005190740057992027,225000000.0
0.0,0.0,1.9300159984858567e-05,0.000624190107423539,4894246.0
0.0,0.0,1.6283285832807692e-05,0.0005266457155101989,275000000.0
0.0,0.0,1.9243177140193524e-05,0.0006223477703710678,500000.0
0.0,0.0,1.6618028700787768e-05,0.0005374693895242588,207781250.0
0.0,0.0,1.8728566171910543e-05,0.0006057095109824884,9800414.0
0.0,0.0,1.8975046484293046e-05,0.000613678677716889,18509935.0
0.0,0.0,1.5896459899411575e-05,0.0005141378309111433,250000000.0
0.0,0.0,1.9152534012523148e-05,0.0006194171413345106,70000000.0
0.0,0.0,1.8901200164678222e-05,0.0006112910953771644,100000000.0
0.0,0.0,2.1112007513868214e-05,0.0006827680192604824,12120276.0
0.0,0.0,1.4962194870404844e-05,0.00048392806429620183,192500000.0
