found,reason,prob_orig,prob_final,changes,index,_error
False,already_good,4.079712098746835e-06,4.079712098746835e-06,{},19723,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},2681,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},47062,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},12718,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},34903,
False,,0.9997426433732743,0.9997426433732743,{},18520,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},80396,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},81287,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},81777,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},57619,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},75358,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},67570,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},1839,
False,already_good,5.176094329364903e-06,5.176094329364903e-06,{},67758,
False,already_good,4.537374323714299e-06,4.537374323714299e-06,{},87294,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},20860,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},61945,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},78820,
False,already_good,5.661986708116844e-06,5.661986708116844e-06,{},66859,
False,already_good,5.685129934083897e-06,5.685129934083897e-06,{},51382,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},83585,
False,already_good,1.5344379854693287e-05,1.5344379854693287e-05,{},45659,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},69929,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},17318,
False,already_good,4.724479776921583e-06,4.724479776921583e-06,{},3628,
False,already_good,4.181428790438855e-06,4.181428790438855e-06,{},39673,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},11256,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},89081,
False,,0.9655009712540662,0.9655009712540662,{},10651,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},7450,
False,already_good,6.031095818762087e-06,6.031095818762087e-06,{},39079,
False,already_good,3.39251914588782e-06,3.39251914588782e-06,{},76570,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},76718,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},8693,
False,already_good,4.079712098746835e-06,4.079712098746835e-06,{},31769,
